Comment,Designator,Footprint,LCSC Part #
0.1uF,C28 C31 C33 C35 C37 C39 C41,RESC0603_N,
0R,R1,RESC0402_N,
1.0pF,C2,RESC0402_N,
1.5pF,C1 C3,RESC0402_N,
1k,R3,RESC0603_N,
1uF,C19 C22 C23 C24 C25 C29 C30,RESC0603_N,
2.2K,R7 R8 R9 R10 R14 R15,RESC0603_N,
2.2nH,L1,RESC0402_N,
4.7K,R11 R12 R13,RESC0603_N,
4.7uF,C4 C9 C11 C16,RESC0603_N,
5.1k,R4,RESC0603_N,
10nF,C20,RESC0603_N,
10pF,C12 C13 C14 C15,RESC0402_N,
10uH,L2 L3,RESC0603_N,
22R,R5 R6,RESC0603_N,
22uF,C32 C34 C36 C38 C40 C42,RESC0603_N,
47uF,C26 C27,RESC0603_N,
100k,R2,RESC0603_N,
100nF,C5 C6 C7 C8 C10 C17 C18 C21,RESC0603_N,
ANTENNA-GROUNDEDTRACE-15.2MM,E1,TRACE_ANTENNA_2.4GHZ_15.2MM,
AP7343-33W5-7,IC2,SOT95P285X140-5N,
AP7343-185W5-7,IC3,SOT95P285X140-5N,
CM8V-T1A-32.768KHZ-7PF-20PPM-TB-QC,X2,XTAL_CM8V-T1A-32.768KHZ-7PF-20PPM-TB-QC,
ECS-320-10-37B-CKY-TR,X1,BT-XTAL_2016_N,
LED BLUE,D3,DIOC0603_N,
LED GREEN,D1,DIOC0603_N,
LED RED,D2,DIOC0603_N,
SJ-43514-SMT,J6,CUI_SJ-43514-SMT,
STM32WB55CGU6,IC1,QFN50P700X700X60-49N,
TL1015AF160QG,S1 S2,SW_TL1015AF160QG,
TLV320AIC3110IRHBT,IC4,IC_ADS125H01IRHBT,
USB4105-GF-A,J1,GCT_USB4105-GF-A,
ATP-50,J2 J3 J4 A1 A2 A3 G1 G2 G3 V1 V2 V3,ATP-50,
DM3CS-SF,J9,HRS_DM3CS-SF,
