Designator,Mid X,Mid Y,Layer,Rotation
C1,30.45,6.72,Top,0
C2,30.97,8.72,Top,270
C3,32.05,8.67,Top,270
C4,25.63,28.79,Top,0
C5,25.63,27.24,Top,0
C6,26.19,13.17,Top,270
C7,35.63,24.34,Top,0
C8,19.37,26.01,Top,180
C9,35.63,16.71,Top,180
C10,35.63,21.29,Top,0
C11,35.63,22.84,Top,0
C12,17.8,22.53,Top,180
C13,17.8,24.28,Top,180
C14,36.5,12.77,Top,0
C15,36.5,14.28,Top,180
C16,29.47,13.2,Top,270
C17,27.82,13.2,Top,270
C18,28.17,28.13,Top,90
C19,19.4,16.02,Top,180
C20,19.4,14.43,Top,180
C21,19.4,19.21,Top,180
C22,25.6,30.5,Top,0
C23,20.6,34.4,Top,270
C24,14.2,34.4,Top,270
C25,17.3,28.9,Top,270
C26,4.9,12.4,Top,0
C27,14.6,19.5,Top,0
C28,4.9,14.1,Top,180
C29,10.6,34.4,Top,270
C30,12.2,34.4,Top,270
C31,14.6,29.3,Top,0
C32,14.6,27.7,Top,0
C33,14.6,26.1,Top,0
C34,14.6,24.5,Top,0
C35,2.2,26.4,Top,180
C36,2.2,28,Top,180
C37,2.2,29.6,Top,180
C38,2.2,31.2,Top,180
C39,6.1,30.2,Top,180
C40,6.1,31.8,Top,180
C41,14.6,22.9,Top,0
C42,14.6,21.2,Top,0
D1,22.3,34.4,Top,90
D2,27.7,7.7,Top,270
D3,37.2,7.6,Top,270
E1,29.7,5.2,Top,180
IC1,28.11,20.46,Top,0
IC2,20.3,28.9,Top,0
IC3,17.4,34.4,Top,0
IC4,8.3,22.5,Top,0
J1,30.2,37.3,Top,180
J6,10.3,8.5,Top,90
L1,31.51,10.57,Top,180
L2,35.63,19.74,Top,0
L3,35.63,18.24,Top,0
R1,29.84,8.74,Top,270
R2,19.4,17.66,Top,180
R3,19.4,20.78,Top,180
R4,35,28.2,Top,270
R5,29.75,28.13,Top,270
R6,31.34,28.13,Top,270
R7,24,34.4,Top,270
R8,25.8,7.7,Top,270
R9,35.2,7.6,Top,270
R10,4.9,15.8,Top,180
R11,2.2,24.6,Top,0
R12,2.2,23,Top,0
R13,2.2,21.4,Top,0
R14,2.2,19.7,Top,0
R15,2.2,18.1,Top,0
S1,20.6,11.6,Top,180
S2,20.6,7.9,Top,180
X1,33.33,13.45,Top,90
X2,20,23.4,Top,90
A1,20,14,Bottom,180
A2,22,14,Bottom,180
A3,24,14,Bottom,180
G1,20,10,Bottom,180
G2,22,10,Bottom,180
G3,24,10,Bottom,180
J2,17.9,35.1,Bottom,0
J3,35.1,26,Bottom,270
J4,35.1,16.9,Bottom,270
J9,7.7,20.8,Bottom,90
V1,20,12,Bottom,180
V2,22,12,Bottom,180
V3,24,12,Bottom,180
